ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
FXI,Intl Equity,25,0.95,-0.12085294346218638,0.4991289198606272,0.017521439819678034
GLD,Commodity,25,0.95,0.2386529097691972,0.5121387283236994,0.009850557288272058
HYG,Fixed Income,25,0.95,0.25499218204459123,0.5192869666861485,0.005390892253767915
IEF,Fixed Income,25,0.95,0.2682827622522767,0.5014501160092807,0.004210574066189778
IWM,US Equity,25,0.95,-0.14196071103772454,0.5020196191575302,0.014108682598200426
LQD,Fixed Income,25,0.95,0.3634303635861432,0.5191972076788831,0.004987651241294463
QQQ,US Equity,25,0.95,0.014048343096276904,0.5273200346921075,0.01312863150539667
SLV,Commodity,25,0.95,0.17891221293103923,0.498825601879037,0.01834554006472679
SPY,US Equity,25,0.95,-0.003994992766036827,0.5215255706443225,0.010863519631157724
TIP,Fixed Income,25,0.95,0.2289841573100525,0.5052539404553416,0.003702217362748606
TLT,Fixed Income,25,0.95,0.22010289157279972,0.4965297860034702,0.009720253832658619
USO,Commodity,25,0.95,0.018839414142251387,0.5068214804063861,0.02286780217759234
VNQ,Real Estate,25,0.95,0.06275685234322644,0.5089699074074074,0.012890140361519871
XLE,US Equity,25,0.95,-0.04751859710680437,0.5053514608041655,0.01771228263824143
XLF,US Equity,25,0.95,0.05519449701144993,0.5036517674554485,0.013959906315616983
XLK,US Equity,25,0.95,-0.15164948564258326,0.5216381063026431,0.013744090101673734
XLP,US Equity,25,0.95,-0.12440733968903106,0.4975167981302951,0.008848792549396781
XLU,US Equity,25,0.95,-0.3742258139072374,0.5056669572798606,0.011371668752020732
XLV,US Equity,25,0.95,-0.30417291825436443,0.4986930002904444,0.01036074573884786
DBC,Commodity,25,0.98,0.17442383742478437,0.5139746984407179,0.010799561167057206
DIA,US Equity,25,0.98,-0.39892904307070587,0.512998266897747,0.010518416171453
EEM,Intl Equity,25,0.98,-0.06042231736589688,0.5094394423467906,0.01344770378961798
EFA,Intl Equity,25,0.98,-0.23172129172949923,0.5152218034212815,0.011421013146028636
EWJ,Intl Equity,25,0.98,-0.28283520414140884,0.505726872246696,0.011150958012465585
FXI,Intl Equity,25,0.98,-0.0032788000495771828,0.5031939605110337,0.0173791619439266
GLD,Commodity,25,0.98,0.06873718078190011,0.5132947976878612,0.009785536710555306
HYG,Fixed Income,25,0.98,0.11011154949142803,0.5230859146697837,0.0053592568060589
IEF,Fixed Income,25,0.98,0.3906726770905742,0.5063805104408353,0.004179000753014957
IWM,US Equity,25,0.98,-0.3075779824632317,0.5080784766301212,0.01401154898460612
LQD,Fixed Income,25,0.98,0.21722217366180768,0.5151250727166957,0.004964132382122724
QQQ,US Equity,25,0.98,0.2844180272633451,0.5394622723330442,0.013026463799851213
SLV,Commodity,25,0.98,-0.030059011867087797,0.5076335877862596,0.018230731194868923
SPY,US Equity,25,0.98,0.09065881378659452,0.52845998266397,0.010788202596327075
